********************************************************************
All paintings:
Painting: title 'Painting9_0', Artist: 'Artist0'
Painting: title 'Painting7_1', Artist: 'Artist1'
Painting: title 'Painting4_4', Artist: 'Artist4'
Painting: title 'Painting5_4', Artist: 'Artist4'
Painting: title 'Painting8_6', Artist: 'Artist6'
Painting: title 'Painting16_6', Artist: 'Artist6'
Painting: title 'Painting17_6', Artist: 'Artist6'
Painting: title 'Painting13_7', Artist: 'Artist7'
Painting: title 'Painting3', 
Painting: title 'Painting1_0', Artist: 'Artist0'
Painting: title 'Painting2_0', Artist: 'Artist0'
Painting: title 'Painting3_0', Artist: 'Artist0'
Painting: title 'Painting4_0', Artist: 'Artist0'
Painting: title 'Painting5_0', Artist: 'Artist0'
Painting: title 'Painting7_0', Artist: 'Artist0'
Painting: title 'Painting8_0', Artist: 'Artist0'
Painting: title 'Painting10_0', Artist: 'Artist0'
Painting: title 'Painting11_0', Artist: 'Artist0'
Painting: title 'Painting0_1', Artist: 'Artist1'
Painting: title 'Painting1_1', Artist: 'Artist1'
Painting: title 'Painting2_1', Artist: 'Artist1'
Painting: title 'Painting3_1', Artist: 'Artist1'
Painting: title 'Painting4_1', Artist: 'Artist1'
Painting: title 'Painting5_1', Artist: 'Artist1'
Painting: title 'Painting8_1', Artist: 'Artist1'
Painting: title 'Painting9_1', Artist: 'Artist1'
Painting: title 'Painting12_1', Artist: 'Artist1'
Painting: title 'Painting0_2', Artist: 'Artist2'
Painting: title 'Painting2_2', Artist: 'Artist2'
Painting: title 'Painting3_2', Artist: 'Artist2'
Painting: title 'Painting1_3', Artist: 'Artist3'
Painting: title 'Painting0_4', Artist: 'Artist4'
Painting: title 'Painting1_4', Artist: 'Artist4'
Painting: title 'Painting2_4', Artist: 'Artist4'
Painting: title 'Painting3_4', Artist: 'Artist4'
Painting: title 'Painting6_4', Artist: 'Artist4'
Painting: title 'Painting7_4', Artist: 'Artist4'
Painting: title 'Painting8_4', Artist: 'Artist4'
Painting: title 'Painting9_4', Artist: 'Artist4'
Painting: title 'Painting10_4', Artist: 'Artist4'
Painting: title 'Painting11_4', Artist: 'Artist4'
Painting: title 'Painting12_4', Artist: 'Artist4'
Painting: title 'Painting13_4', Artist: 'Artist4'
Painting: title 'Painting15_4', Artist: 'Artist4'
Painting: title 'Painting1_5', Artist: 'Artist5'
Painting: title 'Painting2_5', Artist: 'Artist5'
Painting: title 'Painting3_5', Artist: 'Artist5'
Painting: title 'Painting4_5', Artist: 'Artist5'
Painting: title 'Painting6_5', Artist: 'Artist5'
